csc,model,device,build,released
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXSBCZG2,2026-07-13
ILO,SM-A276B,Samsung Galaxy A27 5G,A276BXXS2AZG1,2026-07-13
ILO,SM-A366B,Samsung Galaxy A36 5G,A366BXXSBCZG1,2026-07-13
ILO,SM-A376B,Samsung Galaxy A37 5G,A376BXXS4AZG4,2026-07-16
ILO,SM-A566B,Samsung Galaxy A56 5G,A566BXXSCCZG7,2026-07-10
ILO,SM-A576B,Samsung Galaxy A57 5G,A576BXXS4AZG5,2026-07-15
ILO,SM-F741B,Samsung Galaxy Z Flip 6,F741BXXS4DZH5,2026-08-12
ILO,SM-F761B,Samsung Galaxy Z Flip 7 FE,F761BXXS3AYH3,2025-08-12
ILO,SM-F766B,Samsung Galaxy Z Flip 7,F766BXXSBBZG3,2026-07-03
ILO,SM-F776B,Samsung Galaxy Z Flip 8,F776BXXS2AZH8,2026-08-28
ILO,SM-F956B,Samsung Galaxy Z Fold6,F956BXXS4DZH5,2026-08-12
ILO,SM-F966B,Samsung Galaxy Z Fold7,F966BXXSBBZG3,2026-07-03
ILO,SM-F971B,Samsung Galaxy Z Fold8,F971BXXS2AZH7,2026-08-10
ILO,SM-F976B,Samsung Galaxy Z Fold8 Ultra,F976BXXS2AZH7,2026-08-10
ILO,SM-G766B,Samsung Galaxy XCover7 Pro,G766BXXS9CZG2,2026-07-03
ILO,SM-M556B,Samsung Galaxy M55 5G,M556BXXS5DZH1,2026-08-18
ILO,SM-S721B,Samsung Galaxy S24 FE,S721BXXSDDZG1,2026-07-06
ILO,SM-S731B,SM-S731B,S731BXXS8BZG1,2026-07-07
ILO,SM-S931B,Samsung Galaxy S25 5G,S931BXXSCCZH1,2026-08-11
ILO,SM-S936B,Samsung Galaxy S25+ 5G,S936BXXSBCZG3,2026-07-02
ILO,SM-S937B,Samsung Galaxy S25 Edge,S937BXXS9CZG3,2026-07-02
ILO,SM-S938B,Samsung Galaxy S25 Ultra 5G,S938BXXSCCZH1,2026-08-11
ILO,SM-S942B,Samsung Galaxy S26 5G,S942BXXS4AZHA,2026-08-14
ILO,SM-S947B,Samsung Galaxy S26+,S947BXXS4AZHA,2026-08-14
ILO,SM-S948B,Samsung Galaxy S26 Ultra 5G,S948BXXS4AZHL,2026-08-26
ILO,SM-X526B,Samsung Galaxy Tab S10 FE,X526BXXS9CZG3,2026-07-15
MID,SM-A176B,SM-A176B,A176BXXS6CZG7,2026-07-18
MID,SM-A266B,Samsung Galaxy A26 5G,A266BXXSBCZG2,2026-07-13
MID,SM-A276B,Samsung Galaxy A27 5G,A276BXXS2AZG1,2026-07-13
MID,SM-A366B,Samsung Galaxy A36 5G,A366BXXSBCZG1,2026-07-13
MID,SM-A376B,Samsung Galaxy A37 5G,A376BXXS4AZG4,2026-07-16
MID,SM-A566B,Samsung Galaxy A56 5G,A566BXXSCCZG7,2026-07-10
MID,SM-A576B,Samsung Galaxy A57 5G,A576BXXS4AZG5,2026-07-15
MID,SM-F741B,Samsung Galaxy Z Flip 6,F741BXXS4DZH5,2026-08-12
MID,SM-F761B,Samsung Galaxy Z Flip 7 FE,F761BXXSBBZG3,2026-07-03
MID,SM-F766B,Samsung Galaxy Z Flip 7,F766BXXSBBZG3,2026-07-03
MID,SM-F956B,Samsung Galaxy Z Fold6,F956BXXS4DZH5,2026-08-12
MID,SM-F966B,Samsung Galaxy Z Fold7,F966BXXSBBZG3,2026-07-03
MID,SM-G766B,Samsung Galaxy XCover7 Pro,G766BXXS9CZG2,2026-07-03
MID,SM-M556B,Samsung Galaxy M55 5G,M556BXXS5DZH1,2026-08-18
MID,SM-S721B,Samsung Galaxy S24 FE,S721BXXSDDZG1,2026-07-06
MID,SM-S731B,SM-S731B,S731BXXS9BZH1,2026-08-14
MID,SM-S931B,Samsung Galaxy S25 5G,S931BXXSCCZH1,2026-08-11
MID,SM-S936B,Samsung Galaxy S25+ 5G,S936BXXSBCZG3,2026-07-02
MID,SM-S938B,Samsung Galaxy S25 Ultra 5G,S938BXXSCCZH1,2026-08-11
MID,SM-S942B,Samsung Galaxy S26 5G,S942BXXS4AZHA,2026-08-14
MID,SM-S947B,Samsung Galaxy S26+,S947BXXS4AZHA,2026-08-14
MID,SM-S948B,Samsung Galaxy S26 Ultra 5G,S948BXXS4AZHL,2026-08-26
MID,SM-X526B,Samsung Galaxy Tab S10 FE,X526BXXS9CZG3,2026-07-15
