csc,model,device,build,android,released
ILO,SM-S731B,SM-S731B,S731BXXS8BZG1,16,2026-07-07
ILO,SM-S731B,SM-S731B,S731BXXS7BZF3,16,2026-06-10
ILO,SM-S731B,SM-S731B,S731BXXS6BZE2,16,2026-05-09
ILO,SM-S731B,SM-S731B,S731BXXU6BZDP,16,2026-04-25
ILO,SM-S731B,SM-S731B,S731BXXS6AZCH,16,2026-03-27
ILO,SM-S731B,SM-S731B,S731BXXS5AZBB,16,2026-03-07
ILO,SM-S731B,SM-S731B,S731BXXS5AZB6,16,2026-02-14
ILO,SM-S731B,SM-S731B,S731BXXS4AZA2,16,2026-01-07
ILO,SM-S731B,SM-S731B,S731BXXS3AYK1,16,2025-11-28
ILO,SM-S731B,SM-S731B,S731BXXU3AYJ9,16,2025-11-10
ILO,SM-S731B,SM-S731B,S731BXXS2AYID,16,2025-09-30
ILO,SM-S731B,SM-S731B,S731BXXU1AYIB,16,2025-09-16
ILO,SM-S731B,SM-S731B,S731BXXU1AYH9,16,2025-08-14
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXSBCZG2,16,2026-07-13
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXSACZF1,16,2026-06-10
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXU9CZEA,16,2026-05-14
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS9BZD4,16,2026-04-10
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS8BZB6,16,2026-02-23
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS7BZA3,16,2026-01-14
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS6BYL1,16,2025-12-08
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS5BYK2,16,2025-11-11
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXU4BYI2,16,2025-09-13
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS4AYGC,15,2025-08-06
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXU3AYF2,15,2025-06-30
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXU2AYD9,15,2025-05-08
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXS2AYC1,15,2025-03-31
ILO,SM-A266B,Samsung Galaxy A26 5G,A266BXXU1AYB5,15,2025-02-14
ILO,SM-A276B,Samsung Galaxy A27 5G,A276BXXS2AZG1,16,2026-07-13
ILO,SM-A276B,Samsung Galaxy A27 5G,A276BXXU1AZEA,16,2026-05-26
ILO,SM-A366B,Samsung Galaxy A36 5G,A366BXXSBCZG1,16,2026-07-13
ILO,SM-A366B,Samsung Galaxy A36 5G,A366BXXSACZF1,16,2026-06-22
ILO,SM-A366B,Samsung Galaxy A36 5G,A366BXXSACZE3,16,2026-05-22
