brand_token,devices_we_hold,total_builds,example_device
Samsung,209,16355,Samsung Galaxy S23
Redmi,163,10721,Redmi K50 Ultra
Xiaomi,50,5342,Xiaomi 12 Lite
Mi,70,2817,Mi 11
POCO,6,506,POCO X5 5G
Tecno,319,333,Tecno Spark 30 KL6
Pocophone,4,256,Pocophone M3
Mix,3,126,Mix Fold 2
MIX,2,123,MIX Flip
Infinix,81,81,Infinix GT 30 5G X6876
Realme,59,59,Realme 10 Pro RMX3660
Oppo,48,48,Oppo A5 5G CPH2751
Itel,47,47,Itel A05S A673L
Vivo,29,29,Vivo S30 PD2464
SM-S731B,1,27,SM-S731B
TECNO,18,18,TECNO BG6M REMOVE AN
Huawei,12,12,"Huawei Balong LTE Modems Toolkit: E3372s Firmware, Rescu"
SM-A176B,1,10,SM-A176B
LineageOS,8,8,LineageOS 18.1 for Samsung Galaxy S5
POSP,6,6,POSP 11 for Xiaomi Mi 9T/Redmi K20 [davinci] - 04-08-202
Nokia,5,5,Nokia 6 firmware recovery image & tools
PixelExperience,3,4,PixelExperience 13 Plus for Xiaomi Mi 9T/Redmi K20 [davi
Fluid,4,4,Fluid 0.6 for Xiaomi Mi 9T/Redmi K20 [davinci] - 08-09-2
HUAWEI,4,4,HUAWEI Y 201 Firmware
Motorola,4,4,Motorola Firmware
NamelessAOSP,1,2,NamelessAOSP 12.1 for Xiaomi Mi 9T/Redmi K20 [davinci] -
ITel,2,2,ITel IT5627
Lenovo,2,2,Lenovo Mobile Devices Firmware 2020-2021
PixelOS,2,2,PixelOS 13 for Xiaomi Mi 9T/Redmi K20 [davinci] - 25-11-
[,2,2,[ Flash File Downloader] MT 6582 EMMC Vivo Vivo Y 11i W 
64bit,1,1,64bit Android ROM for Samsung Galaxy A13
AOSP,1,1,AOSP Extended 4.6 for Redmi 2
Android,1,1,Android 4.3 Google Play Edition for Samsung Galaxy S4
CyanogenMod,1,1,CyanogenMod 13.0 for Samsung Galaxy Tab P1000 - May 2016
CycanogenMod,1,1,CycanogenMod 14.0 Unofficial builds for ido
Firmware,1,1,Firmware Officiel I9300XXUGNJ2 - Android 4.3 Jelly Bean 
FuntouchOS,1,1,FuntouchOS 2.5 port for Redmi 2
Kumpulan,1,1,Kumpulan ROM Global Stabel Xiaomi Redmi Note 4
MIUITN,1,1,MIUITN - POCO F2 Pro / Redmi K30 Pro-Zoom
OPPO,1,1,OPPO UDP20X Firmware
R,1,1,R 2 Infinix Note 10 X693
REALME,1,1,REALME RMX3261 FIRMWARE
Sam,1,1,Sam Finix Infinix HNote
ShapeShiftOS,1,1,ShapeShiftOS 1.2 for Xiaomi Mi 9T/Redmi K20 [davinci] - 
VIVO,1,1,VIVO X5Pro V
Xiaomi.eu,1,1,Xiaomi.eu for Redmi K30 Pro/Xiaomi POCO F2 Pro
[OFFICIAL],1,1,[OFFICIAL] PixelExperience ROM for Samsung Galaxy A52
[PIE],1,1,[PIE] REDMI NOTE 4 CUSTOM ROM
crDroid,1,1,crDroid 9.9 for Xiaomi Mi 9T/Redmi K20 [davinci] - 19-09
dotOS,1,1,dotOS 5.2.1 GAPPS for Xiaomi Mi 9T/Redmi K20 [davinci] -
huawei,1,1,huawei feature phone firmware
infinix-zero-8i-x687b-stock-rom-firmware,1,1,infinix-zero-8i-x687b-stock-rom-firmware
motorola,1,1,motorola feature phone firmware
oppo_r831k_stockrom-plus-cwm&spflashtool,1,1,oppo_r831k_stockrom-plus-cwm&spflashtool
rom,1,1,rom samsung galaxy pocket neo
tequilaOS,1,1,tequilaOS Tortilla for Xiaomi Mi 9T/Redmi K20 [davinci] 
