model,csc,version,updated_at
SM-A015F,XSG,A015FXXS6CWG1,2023-07-01
SM-A015F,XFA,A015FXXS6CWG1,2023-07-01
SM-A015F,EGY,A015FXXS6CWG1,2023-07-01
SM-A015F,MID,A015FXXS6CWG1,2023-07-01
SM-A015F,THL,A015FXXS6CWG1,2023-07-01
SM-A015F,XME,A015FXXS6CWG1,2023-07-01
SM-A015F,SEK,A015FXXS6CWG1,2023-07-01
SM-A025F,XSG,A025FXXS8CYC3,2025-03-01
SM-A025F,XFA,A025FXXS8CYC3,2025-03-01
SM-A025F,EGY,A025FXXS8CYC3,2025-03-01
SM-A025F,ILO,A025FXXS8CXH1,2024-08-01
SM-A025F,MID,A025FXXS8CYC3,2025-03-01
SM-A025F,THL,A025FXXS8CYC3,2025-03-01
SM-A025F,XME,A025FXXS8CXH1,2024-08-01
SM-A025F,SEK,A025FXXS8CYC3,2025-03-01
SM-A032F,INS,A032FXXS9CZA1,2026-01-01
SM-A032F,XSG,A032FXXS9CZA2,2026-01-01
SM-A032F,XFA,A032FXXS9CZA2,2026-01-01
SM-A032F,EGY,A032FXXS9CZA2,2026-01-01
SM-A032F,MID,A032FXXS9CZA2,2026-01-01
SM-A032F,THL,A032FXXS9CZA1,2026-01-01
SM-A032F,SEK,A032FXXS9CZA1,2026-01-01
SM-A035F,INS,A035FXXS9CYG1,2025-07-01
SM-A035F,XSG,A035FXXS9CYG1,2025-07-01
SM-A035F,XFA,A035FXXS9CYG1,2025-07-01
SM-A035F,EGY,A035FXXS9CYG1,2025-07-01
SM-A035F,ILO,A035FXXS9CYG1,2025-07-01
SM-A035F,MID,A035FXXS9CYG1,2025-07-01
SM-A035F,THL,A035FXXS9CYG1,2025-07-01
SM-A035F,XME,A035FXXS9CYG1,2025-07-01
SM-A035F,SEK,A035FXXS9CYG1,2025-07-01
SM-A037F,INS,A037FXXS8CYE3,2025-05-01
SM-A037F,XSG,A037FXXS8CYE2,2025-05-01
SM-A037F,XFA,A037FXXS8CYE1,2025-05-01
SM-A037F,EGY,A037FXXS8CYE1,2025-05-01
SM-A037F,ILO,A037FXXS8CYE1,2025-05-01
SM-A037F,MID,A037FXXS8CYE1,2025-05-01
SM-A037F,THL,A037FXXS8CYE1,2025-05-01
SM-A037F,XME,A037FXXS8CYE1,2025-05-01
SM-A037F,SEK,A037FXXS8CYE1,2025-05-01
SM-A042F,INS,A042FXXSHEZH1,2026-08-01
SM-A042F,XSG,A042FXXSHEZH2,2026-08-01
SM-A042F,XFA,A042FXXSHEZH2,2026-08-01
