device,model,csc,version,pda_month,fetched_at,kind,cp
Samsung Galaxy A01,SM-A015F,XSG,A015FXXS6CWG1,2023-07-01,2026-09-13T09:16:43Z,latest,A015FXXS6CWG1
Samsung Galaxy A01,SM-A015F,XSG,A015FXXS5CWB2,2023-02-01,2026-09-13T09:16:43Z,upgrade,A015FXXS5CWB2
Samsung Galaxy A01,SM-A015F,XSG,A015FXXU4BUD8,2021-04-01,2026-09-13T09:16:43Z,upgrade,A015FXXU4BUD8
Samsung Galaxy A01,SM-A015F,XSG,A015FXXU4BUH1,2021-08-01,2026-09-13T09:16:43Z,upgrade,A015FXXU4BUG1
Samsung Galaxy A01,SM-A015F,XSG,A015FXXU5BUJ1,2021-10-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XSG,A015FXXU5BVG2,2022-07-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XSG,A015FXXS5BUL1,2021-12-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XSG,A015FXXS5BVC1,2022-03-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XSG,A015FXXU5CVK5,2022-11-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5CVI3
Samsung Galaxy A01,SM-A015F,XFA,A015FXXS6CWG1,2023-07-01,2026-09-13T09:16:43Z,latest,A015FXXS6CWG1
Samsung Galaxy A01,SM-A015F,XFA,A015FXXS5CWB2,2023-02-01,2026-09-13T09:16:43Z,upgrade,A015FXXS5CWB2
Samsung Galaxy A01,SM-A015F,XFA,A015FXXU4BUH1,2021-08-01,2026-09-13T09:16:43Z,upgrade,A015FXXU4BUG1
Samsung Galaxy A01,SM-A015F,XFA,A015FXXU5BUJ1,2021-10-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XFA,A015FXXU4BUD8,2021-04-01,2026-09-13T09:16:43Z,upgrade,A015FXXU4BUD8
Samsung Galaxy A01,SM-A015F,XFA,A015FXXU5BVG2,2022-07-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XFA,A015FXXS5BUL1,2021-12-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XFA,A015FXXS5BVC1,2022-03-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5BUJ1
Samsung Galaxy A01,SM-A015F,XFA,A015FXXU5CVK5,2022-11-01,2026-09-13T09:16:43Z,upgrade,A015FXXU5CVI3
