model,csc,ap,csc_ver,cp,kind
SM-A015F,XSG,A015FXXS6CWG1,A015FOJM6CWG3,A015FXXS6CWG1,latest
SM-A015F,XSG,A015FXXS5CWB2,A015FOJM5CVK5,A015FXXS5CWB2,upgrade
SM-A015F,XSG,A015FXXU4BUD8,A015FOJM4BUD8,A015FXXU4BUD8,upgrade
SM-A015F,XSG,A015FXXU4BUH1,A015FOJM4BUG3,A015FXXU4BUG1,upgrade
SM-A015F,XSG,A015FXXU5BUJ1,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XSG,A015FXXU5BVG2,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XSG,A015FXXS5BUL1,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XSG,A015FXXS5BVC1,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XSG,A015FXXU5CVK5,A015FOJM5CVK5,A015FXXU5CVI3,upgrade
SM-A015F,XFA,A015FXXS6CWG1,A015FOJM6CWG3,A015FXXS6CWG1,latest
SM-A015F,XFA,A015FXXS5CWB2,A015FOJM5CVK5,A015FXXS5CWB2,upgrade
SM-A015F,XFA,A015FXXU4BUH1,A015FOJM4BUG3,A015FXXU4BUG1,upgrade
SM-A015F,XFA,A015FXXU5BUJ1,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XFA,A015FXXU4BUD8,A015FOJM4BUE1,A015FXXU4BUD8,upgrade
SM-A015F,XFA,A015FXXU5BVG2,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XFA,A015FXXS5BUL1,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XFA,A015FXXS5BVC1,A015FOJM5BUJ1,A015FXXU5BUJ1,upgrade
SM-A015F,XFA,A015FXXU5CVK5,A015FOJM5CVK5,A015FXXU5CVI3,upgrade
SM-A015F,EGY,A015FXXS6CWG1,A015FOJM6CWG3,A015FXXS6CWG1,latest
SM-A015F,EGY,A015FXXS5CWB2,A015FOJM5CVK5,A015FXXS5CWB2,upgrade
SM-A015F,EGY,A015FXXU4BUD8,A015FOJM4BUD8,A015FXXU4BUD8,upgrade
