brand,model_code,project_name,version,android_version,platform,market_type,version_date,download_link,extraction_code,created_at,download_status
Infinix,X6835B,X6835B,X6835B-H6127KLM-T-GL-231013V1103,,MT6765,GL,2023-10-13,https://frbox.transsion.com/disk/s/qk8DJYeFv9G,9vcRuA,2026-09-12 21:51:04,expired
Infinix,X6835B,X6835B,X6835B-H6127KLM-T-GL-241212V1738,,MT6765,GL,2024-12-12,https://frbox.transsion.com/disk/s/PGFHNZpgHoV,ytHNt9,2026-09-12 21:51:04,expired
Infinix,X6835B,X6835B,X6835B-H6127M-T-RU-250319V1777,,MT6765,RU,2025-03-19,https://frbox.transsion.com/disk/s/E9Kzn3vG2fP,u3ss9M,2026-09-12 21:51:04,expired
Infinix,X6835B,X6835B,X6835B-H6127KLM-T-GL-250319V1776,,MT6765,GL,2025-03-19,https://frbox.transsion.com/disk/s/wJud6e9Dav5,L858dV,2026-09-12 21:51:04,expired
TECNO,AD8,AD8(Android 13),AD8-H831B-T-RU-240304V1019,13,MT6983(D9000),RU,2024-03-04,https://frbox.transsion.com/disk/s/nPm6V4vLBP6,O7H43J,2026-09-12 21:51:04,expired
TECNO,AD8,AD8(Android 13),AD8-H831B-T-GL-240521V1462,13,MT6983(D9000),GL,2024-05-21,https://frbox.transsion.com/disk/s/grmQ3gkxUq5,58FOMP,2026-09-12 21:51:04,expired
TECNO,AD8,AD8(Android 13),AD8-H831B-T-TR-240530V1515,13,MT6983(D9000),TR,2024-05-30,https://frbox.transsion.com/disk/s/DybMfTGVsQz,cItEyi,2026-09-12 21:51:04,expired
TECNO,AD8,AD8(Android 13),AD8-H831B-T-GL-240726V1663,13,MT6983(D9000),GL,2024-07-26,https://frbox.transsion.com/disk/s/6pmBvKSyPjP,HXHW9X,2026-09-12 21:51:04,expired
Infinix,X1102B,X1102B,X1102B-T725BEFKL-V-RU-260601V564,,MT8786(G80),RU,2026-06-01,https://frbox.transsion.com/disk/s/LmhC7d2yPtR,SA1kpP,2026-09-12 21:51:03,expired
Infinix,X1102B,X1102B,X1102B-T725BABCDEFGHIJKL-V-OP-260709V606,,MT8786(G80),OP,2026-07-09,https://frbox.transsion.com/disk/s/Bz6rRhG6Cqk,Ri6fqs,2026-09-12 21:51:03,expired
TECNO,CM8,CM8(Android 16),CM8-16.2.0.150SP14(TR005PF001AZ),16,MT6897Z_B/ZA(D8350 Ultimate),TR,,https://frbox.transsion.com/disk/s/ACzJ8kxnnTN,Ey7VT6,2026-09-12 21:51:02,expired
TECNO,CM8,CM8(Android 16),CM8-16.3.0.140SP29(OP010PF001AZ),16,MT6897Z_B/ZA(D8350 Ultimate),OP,,https://frbox.transsion.com/disk/s/pzvdH1h7wiF,0oRCBF,2026-09-12 21:51:02,expired
TECNO,CM8,CM8(Android 16),CM8-16.3.0.140SP29(RU010PF001AZ),16,MT6897Z_B/ZA(D8350 Ultimate),RU,,https://frbox.transsion.com/disk/s/CUw7Ze7CvZP,LB0oB8,2026-09-12 21:51:02,expired
Infinix,X6726B,X6726B,X6726B-15.1.2.170SP05(OP001PF001AZ),15,MT6855V/TTZA(D7025),OP,,https://frbox.transsion.com/disk/s/meZgUQASm9s,XsOvSL,2026-09-12 21:51:01,expired
Infinix,X6726B,X6726B,X6726B-15.1.2.185SP02(OP001PF001AZ),15,MT6855V/TTZA(D7025),OP,,https://frbox.transsion.com/disk/s/8LDGxkixxmS,Wu0wHB,2026-09-12 21:51:01,expired
itel,W6003,W6003,W6003-F3108-9.0-OP-V041-20210517,,SC7731E,OP,,https://frbox.transsion.com/disk/s/jaYAGXugurm,2ChWQo,2026-09-12 21:51:00,expired
itel,W6004,W6004,W6004-SP591-9.0-OP-V023-20220112,,SC7731E,OP,,https://frbox.transsion.com/disk/s/URd9ACbQYdM,KKKHEX,2026-09-12 21:50:59,expired
itel,W4001p,W4001p,W4001P-SA216TZ-10-TZ-Voda-L-V011-20201201,,SC7731E,TZ,,https://frbox.transsion.com/disk/s/aA8mEzUL4Ze,FdxMDM,2026-09-12 21:50:58,expired
Infinix,X6811B,X6811B,X6811B-H857B-R-GL-230416V822,,MT6785V,GL,2023-04-16,https://frbox.transsion.com/disk/s/TUedmB1mC15,ny0aE4,2026-09-12 21:50:58,expired
TECNO,BB4,BB4,BB4-H6114RST-PGo-220315V422,,MT6761,OP,2022-03-15,https://frbox.transsion.com/disk/s/DM1KvcC5VBn,BcPO9Q,2026-09-12 21:50:57,expired
TECNO,BB2,BB2,BB2-VP572DE-QGo-OP-230209V020,,MT6580M,OP,2023-02-09,https://frbox.transsion.com/disk/s/3bXKvvKh2Fp,NqHciV,2026-09-12 21:50:56,expired
itel,W6001,W6001,W6001-F3103-8.1-OP-V064-20210309,,SC7731E,OP,,https://frbox.transsion.com/disk/s/ukS9KvyVhbA,nM4Ust,2026-09-12 21:50:55,expired
itel,it9300,it9300,it9300-LS2801-EnArFrPoHaSw-ZA-VDC-L-20250627,,,Vodacom,,https://frbox.transsion.com/disk/s/wWPtZu6SP75,sT8ZFj,2026-09-12 21:50:54,expired
itel,it9300,it9300,it9300-LS2801-EnUr-PK-20251017,,T127,PK,,https://frbox.transsion.com/disk/s/QjTKVefpjFi,9Di436,2026-09-12 21:50:54,expired
itel,it9300,it9300,it9300-LS2801-EnArFrPoHaSw-TZ-VDC-L-20251010,,SC9820E,TZ,,https://frbox.transsion.com/disk/s/Hks1jdL8vq9,6pt4Mi,2026-09-12 21:50:54,expired
itel,it9300,it9300,it9300-LS2801-EnFrArFa-EG-ETI-20251021,,,EG,,https://frbox.transsion.com/disk/s/LNNK5rcgze9,hf751d,2026-09-12 21:50:54,expired
itel,it9300,it9300,it9300-LS2801-EnArFrPoHaSw-ZA-VDC-L-20250928,,T127,ZA,,https://frbox.transsion.com/disk/s/Cu9V4jLTXf8,YiraKK,2026-09-12 21:50:54,expired
itel,W6002,W6002,W6002-F3108-9.0-OP-V063-20210609,,SC7731E,OP,,https://frbox.transsion.com/disk/s/dNm3Ko2a2vz,lKSCoV,2026-09-12 21:50:54,expired
Infinix,X627W,X627W,X627W-H624W-P-IN-190522V210,,MT6757,IN,2019-05-22,https://frbox.transsion.com/disk/s/6y5gx5nEmKZ,cJMYED,2026-09-12 21:50:51,expired
TECNO,KM5s,KM5s,KM5s-15.1.1.118(COCL001PF001AZ),,MT6769V/CBZA(G81),COCL,,https://frbox.transsion.com/disk/s/X2NpfsaJXha,mWHTAT,2026-09-12 21:50:50,expired
TECNO,KM5s,KM5s,KM5s-15.1.2.132(GTTG001PF001LC),,MT6769V/CBZA(G81),GTTG,,https://frbox.transsion.com/disk/s/1U5SNLwrzgi,whZFpz,2026-09-12 21:50:50,expired
TECNO,S501,S501,S501-MA3201-EnFrArSwHaPo-20240712,,MT6260A,OP,,https://frbox.transsion.com/disk/s/nygAoGcw6NZ,YH6AYe,2026-09-12 21:50:50,expired
TECNO,S501,S501,S501-MA3201-EnFrArSwHaPo-20250225,,MT6260A,OP,,https://frbox.transsion.com/disk/s/uNRtqJPBA3x,oCnq19,2026-09-12 21:50:50,expired
