bulletin_month,cve,tier,section,type,severity,component,references,updated_aosp_versions
2015-08,CVE-2015-1538,?,Integer overflows during MP4 atom processing,,Critical,,,
2015-08,CVE-2015-1539,?,An integer underflow in ESDS processing,,Critical,,,
2015-08,CVE-2015-3824,?,Integer overflow in libstagefright when parsing the MPEG4 tx3g atom,,Critical,,,
2015-08,CVE-2015-3827,?,Integer underflow in libstagefright when processing MPEG4 covr atoms,,Critical,,,
2015-08,CVE-2015-3828,?,Integer underflow in libstagefright if size is below 6 while processing 3GPP metadata,,Critical,,,
2015-08,CVE-2015-3829,?,Integer overflow in libstagefright processing MPEG4 covr atoms when chunk_data_size is SIZE_MAX,,Critical,,,
2015-08,CVE-2015-3836,?,Buffer overflow in Sonivox Parse_wave,,Critical,,,
2015-08,CVE-2015-3832,?,Buffer overflows in libstagefright MPEG4Extractor.cpp,,Critical,,,
2015-08,CVE-2015-3831,?,Buffer overflow in mediaserver BpMediaHTTPConnection,,High,,,
2015-08,CVE-2015-0973,?,Vulnerability in libpng: Overflow in png_Read_IDAT_data,,High,,,
2015-08,CVE-2015-1863,?,Remotely exploitable memcpy() overflow in p2p_add_device() in wpa_supplicant,,High,,,
2015-08,CVE-2015-3837,?,Memory Corruption in OpenSSLX509Certificate Deserialization,,High,,,
2015-08,CVE-2015-3834,?,Buffer overflow in mediaserver BnHDCP,,High,,,
2015-08,CVE-2015-3835,?,Buffer overflow in libstagefright OMXNodeInstance::emptyBuffer,,High,,,
2015-08,CVE-2015-3842,?,Heap overflow in mediaserver AudioPolicyManager::getInputForAttr(),,High,,,
2015-08,CVE-2015-3843,?,Applications can intercept or emulate SIM commands to Telephony,,High,,,
2015-08,CVE-2015-1536,?,Vulnerability in Bitmap unmarshalling,,Moderate,,,
2015-08,CVE-2015-1541,?,AppWidgetServiceImpl can create IntentSender with system privileges,,Moderate,,,
2015-08,CVE-2015-3833,?,Mitigation bypass of restrictions on getRecentTasks(),,Moderate,,,
2015-08,CVE-2015-3844,?,Mitigation bypass of restrictions on getRecentTasks(),,Moderate,,,
2015-08,CVE-2015-3826,?,Unbounded buffer read in libstagefright while parsing 3GPP metadata,,Low,,,
2015-09,CVE-2015-3864,?,Remote Code Execution Vulnerability in Mediaserver,,Critical,,,
2015-09,CVE-2015-3636,?,Elevation Privilege Vulnerability in Kernel,,Critical,,,
2015-09,CVE-2015-3845,?,Elevation of Privilege Vulnerability in Binder,,High,,,
2015-09,CVE-2015-1528,?,Elevation of Privilege Vulnerability in Binder,,High,,,
2015-09,CVE-2015-3863,?,Elevation of Privilege Vulnerability in Keystore,,High,,,
2015-09,CVE-2015-3849,?,Elevation of Privilege Vulnerability in Region,,High,,,
2015-09,CVE-2015-3858,?,Elevation of Privilege vulnerability in SMS enables notification bypass,,High,,,
2015-09,CVE-2015-3860,?,Elevation of Privilege Vulnerability in Lockscreen,,Moderate,,,
2015-09,CVE-2015-3861,?,Denial of Service Vulnerability in Mediaserver,,Low,,,
2015-10,CVE-2015-3873,?,Remote Code Execution Vulnerabilities in libstagefright,,Critical,,,
