phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
HMD Aura,2026-06-01,Quarterly,Aug-26,Jun-26,00WW_1_160_SP04,SP Only (Android 13),Estimated,"July 06, 2026"
HMD Arc,2026-05-01,Quarterly,Feb-27,May-26,00WW_1_390,SP Only (Android 15) ,Estimated   -  4GB Variant ,"July 06, 2026"
HMD Crest Max 5G,2026-05-01,Quarterly,Oct-26,May-26,00WW_1_590_SP03,SP Only (Android 14),Estimated,"July 02, 2026"
HMD Crest 5G,2026-05-01,Quarterly,Oct-26,May-26,00WW_1_590_SP03,SP Only (Android 14),Estimated,"July 02, 2026"
HMD Pulse Pro,2026-05-01,Quarterly,May-27,May-26,00WW_2_450_SP04,SP Only (Android 15) ,Estimated,"June 16, 2026"
HMD Pulse+,2026-05-01,Quarterly,May-27,May-26,00WW_2_450_SP04,SP Only (Android 15) ,Estimated,"June 16, 2026"
HMD Pulse,2026-05-01,Quarterly,May-27,May-26,00WW_2_450_SP04,SP Only (Android 15) ,Estimated,"June 16, 2026"
Nokia G22,2026-05-01,Final guaranteed Security Patch Update,Apr-26,May-26,00WW_3_610_SP08,SP Only (Android 14),,"June 15, 2026"
HMD XR21,2026-06-01,Quarterly,Mar-27,Jun-26,00WW_3_340_SP02,SP Only (Android 14),Estimated,"June 15, 2026"
Nokia XR21,2026-06-01,Quarterly,Mar-27,Jun-26,00WW_3_340_SP02,SP Only (Android 14),Estimated,"June 15, 2026"
HMD T21,2026-05-01,Quarterly,Mar-27,May-26,00WW_3_550_SP04,SP Only (Android 14),Estimated,"June 05, 2026"
Nokia T21,2026-05-01,Final guaranteed Security Patch Update,Mar-26,May-26,00WW_3_550_SP04,SP Only (Android 14),,"June 05, 2026"
Nokia G42 5G,2026-05-01,Quarterly,Aug-26,May-26,00WW_3_250_SP04,SP Only (Android 15),,"May 28, 2026"
HMD Arc,2026-05-01,Quarterly,Feb-27,May-26,00WW_1_370,SP Only (Android 15) ,Estimated   -  4GB Variant ,"May 27, 2026"
HMD Arc,2026-04-01,Quarterly,Feb-27,Apr-26,00WW_1_190_SP04,SP (Android 14 GO),Estimated   -  2GB Variant ,"May 04, 2026"
HMD Key,2026-04-01,Quarterly,Mar-27,Apr-26,00WW_1_120_SP02,SP (Android 14 GO),Estimated,"April 23, 2026"
