brand,model,product_base,region,android_version,fingerprint,http_status,has_update,update_title,update_url,update_size,update_size_value,update_description,update_urgency,update_target_sdk_level,update_experiment_id,settings_count,unexpected_update_fields,error,probed_at
Itel,itel A80,A671LC,OP,14,Itel/A671LC-OP/itel-A671LC:14/UP1A.231005.007/260804V1678:user/release-keys,200,False,,,,,,,,,543,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy",,2026-09-23T07:06:38.369131+00:00
Itel,itel P65,P671L,OP,14,Itel/P671L-OP/itel-P671L:14/UP1A.231005.007/260703V2683:user/release-keys,200,False,,,,,,,,KEEP,545,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy",,2026-09-23T07:06:40.624261+00:00
Itel,itel P70,P673L,OP,14,Itel/P673L-OP/itel-P673L:14/UP1A.231005.007/260706V1567:user/release-keys,200,False,,,,,,,,KEEP,547,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy",,2026-09-23T07:06:42.751326+00:00
Itel,itel S25,S685LN,OP,15,Itel/S685LN-OP/itel-S685LN:15/AP3A.240905.015.A2/180015:user/release-keys,200,True,Tcard_S685LN-15.1.2.118SP09-OP001PF001AZ,https://android.googleapis.com/packages/ota-api/package/327adc0e2b621c2aa6d5fb2166f544279d33df5f.zip,5558.0 MB,5828004080,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">S685LN-15.1.2.118SP09(OP001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">1. Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">1. Upgraded from itelOS14.5.0 to itelO",3,35,KEEP,557,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T07:06:44.873694+00:00
Itel,itel S25 Ultra,S686LN,OP,15,Itel/S686LN-OP/itel-S686LN:15/AP3A.240905.015.A2/180004:user/release-keys,200,True,Tcard_S686LN-15.1.2.118SP01-OP001PF001AZ,https://android.googleapis.com/packages/ota-api/package/da4474145e5f5e7ad5ab000c87acb6f5810b46c9.zip,5894.5 MB,6180788493,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">S686LN-15.1.2.118SP01(OP001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">1. Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">1. Upgraded from itelOS14.5.0 to itelO",3,35,KEEP,561,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T07:06:47.264751+00:00
Infinix,Infinix XPAD,X1101,OP,14,Infinix/X1101-OP/Infinix-X1101:14/UP1A.231005.007/250616V1026:user/release-keys,200,False,,,,,,,,KEEP,540,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy",,2026-09-23T07:06:49.393832+00:00
Infinix,Infinix XPAD 30 Pro,X1103,OP,16,Infinix/X1103-OP/Infinix-X1103:16/BP2A.250605.031.A3/301450015:user/release-keys,200,True,X1103-16.3.0.145SP01-OP002PF001AZ-16.3.0.155SP01-OP002PF001AZ_20260904174157,https://android.googleapis.com/packages/ota-api/package/7d71d4e975dd8d7f67b250cb7da14735d72cb880.zip,444.8 MB,466388111,"<br><small><font color=""#949494"">Please plug in charger to OTA upgrade when power is lower than 50%.</font></small><br><br>Update Version:<br><small><font color=""#949494"">X1103-16.3.0.155SP01(OP002PF001AZ)</font></small><br><br>Changed Functions:<br><small><font color=""#949494"">1. Updated Google Security Patch to September 5, 2026.</font></small><br><br>Fixed Issues:<br><small><font color=""#949494"">1. Fixed some known issues to improve the user experience.</font></small><br><br>Reminding:<br>

<",3,36,44300116,566,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_install_failure_message,update_install_success_message,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T07:06:52.513535+00:00
Infinix,Infinix XPAD 20 Pro,X1201,OP,15,Infinix/X1201-OP/Infinix-X1201:15/AP3A.240905.015.A2/260505V1370:user/release-keys,200,True,X1201-M1201ABCDEFGHI-V-OP-260505V1370-to-X1201-M1201ABCDEFGHI-V-OP-260625V1482,https://android.googleapis.com/packages/ota-api/package/757d6ea4dba9fb1d9a59324c5687af895098c51a.zip,93.9 MB,98429192,"<br><small><font color=""#949494"">Please plug in charger to OTA upgrade when power is lower than 50%.</font></small><br><br>Update Version:<br><small><font color=""#949494"">X1201-M1201ABCDEFGHI-V-OP-260625V1482</font></small><br><br>Changed Functions:<br><small><font color=""#949494"">1. Fixed some known issues to improve the user experience.</font></small><br><br>Fixed Issues:<br><small><font color=""#949494"">1. Updated Google Security Patch to August 1, 2026.</font></small><br><br>Reminding:<br>

<",3,35,44302364,560,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_install_failure_message,update_install_success_message,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T07:06:56.415276+00:00
Infinix,Infinix HOT 50i,X6531,OP,14,Infinix/X6531-OP/Infinix-X6531:14/UP1A.231005.007/260713V3301:user/release-keys,200,False,,,,,,,,KEEP,547,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy",,2026-09-23T07:06:59.789213+00:00
Infinix,Infinix HOT 50i (B),X6531B,OP,14,Infinix/X6531B-OP/Infinix-X6531B:14/UP1A.231005.007/260713V1136:user/release-keys,200,False,,,,,,,,KEEP,542,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy",,2026-09-23T07:07:02.220812+00:00
