device_name,model_code,version,region_code,file_size,chipset,build_date,build_date_raw,filename,url,scraped_at,note
Tecno 7C,7C,5.1,,1 GB,MT6582,2015-04-30,20150430,Tecno_7C_MT6582_20150430_5.1.zip,https://naijarom.com/tecno-7c,2026-09-22T00:29:12.857397+00:00,
Tecno 7C Pro,,5.1,,1 GB,MT6582,2015-04-30,20150430,Tecno_7C_Pro_MT6582_20150430_5.1.zip,https://naijarom.com/tecno-7c-pro,2026-09-22T00:29:18.586152+00:00,
Tecno 7CS,,,,,,,,,https://naijarom.com/tecno-7cs,2026-09-22T00:29:23.269548+00:00,no firmware versions found on page
Tecno 7H,,,,,,,,,https://naijarom.com/tecno-7h,2026-09-22T00:29:28.287767+00:00,no firmware versions found on page
Tecno 8H,8H,5.0,,1 GB,MT6582,2015-05-07,20150507,Tecno_8H_MT6582_20150507_5.0.zip,https://naijarom.com/tecno-8h,2026-09-22T00:29:33.201306+00:00,
Tecno 611s,,,,,,,,,https://naijarom.com/tecno-611s,2026-09-22T00:29:37.761291+00:00,no firmware versions found on page
Tecno A6,A6,V116,,2 GB,MT6755,,161216,Tecno_A6_MT6755_V116_161216.zip,https://naijarom.com/tecno-a6,2026-09-22T00:29:42.670091+00:00,
Tecno A6,A6,V121,,2 GB,MT6755,,170103,Tecno_A6_MT6755_V121_170103.zip,https://naijarom.com/tecno-a6,2026-09-22T00:29:42.670134+00:00,
Tecno A6,A6,V138,,2 GB,MT6755,,180905,Tecno_A6_MT6755_V138_180905.zip,https://naijarom.com/tecno-a6,2026-09-22T00:29:42.670165+00:00,
Tecno A7 Phantom Z,A7,,,,,,,,https://naijarom.com/tecno-a7-phantom-z,2026-09-22T00:29:50.953920+00:00,no firmware versions found on page
Tecno A7S,A7S,,,,,,,,https://naijarom.com/tecno-a7s,2026-09-22T00:29:57.460200+00:00,no firmware versions found on page
Tecno A9,A9,,,,,,,,https://naijarom.com/tecno-a9,2026-09-22T00:30:02.754169+00:00,no firmware versions found on page
Ab7,,,,,,,,,https://naijarom.com/tecno-ab7,2026-09-22T00:30:11.534958+00:00,page redirects to homepage (dead URL)
Tecno AD9,AD9,V1775,,5 GB,MT6983,2025-10-22,221025,Tecno_AD9_MT6983_V1775_221025.zip,https://naijarom.com/tecno-ad9,2026-09-22T00:30:15.605200+00:00,
