filename,device_name,model_code,build,market,chipset,brand,file_size,date_token,source_url,capture
Tecno_7C_MT6582_20150430_5.1.zip,Tecno 7C,7C,5.1,SOURCE_UNSPECIFIED,MT6582,TECNO,1 GB,20150430,https://naijarom.com/tecno-7c,pc-fw
Tecno_7C_Pro_MT6582_20150430_5.1.zip,Tecno 7C Pro,,5.1,SOURCE_UNSPECIFIED,MT6582,TECNO,1 GB,20150430,https://naijarom.com/tecno-7c-pro,pc-fw
Tecno_8H_MT6582_20150507_5.0.zip,Tecno 8H,8H,5.0,SOURCE_UNSPECIFIED,MT6582,TECNO,1 GB,20150507,https://naijarom.com/tecno-8h,pc-fw
Tecno_A6_MT6755_V116_161216.zip,Tecno A6,A6,V116,SOURCE_UNSPECIFIED,MT6755,TECNO,2 GB,161216,https://naijarom.com/tecno-a6,pc-fw
Tecno_A6_MT6755_V121_170103.zip,Tecno A6,A6,V121,SOURCE_UNSPECIFIED,MT6755,TECNO,2 GB,170103,https://naijarom.com/tecno-a6,pc-fw
Tecno_A6_MT6755_V138_180905.zip,Tecno A6,A6,V138,SOURCE_UNSPECIFIED,MT6755,TECNO,2 GB,180905,https://naijarom.com/tecno-a6,pc-fw
Tecno_AD9_MT6983_V1775_221025.zip,Tecno AD9,AD9,V1775,SOURCE_UNSPECIFIED,MT6983,TECNO,5 GB,221025,https://naijarom.com/tecno-ad9,pc-fw
Tecno_AD9_MT6983_V3642_230717.zip,Tecno AD9,AD9,V3642,SOURCE_UNSPECIFIED,MT6983,TECNO,5.79 GB,230717,https://naijarom.com/tecno-ad9,pc-fw
Tecno_B1P_MT6580_V148_190323.zip,Tecno B1P,B1P,V148,SOURCE_UNSPECIFIED,MT6580,TECNO,869 MB,190323,https://naijarom.com/tecno-b1p,pc-fw
Tecno_B1P_MT6580_V158_190323.zip,Tecno B1P,B1P,V158,SOURCE_UNSPECIFIED,MT6580,TECNO,869 MB,190323,https://naijarom.com/tecno-b1p,pc-fw
Tecno_BC1_MT6580_V019_220920.zip,Tecno BC1,BC1,V019,SOURCE_UNSPECIFIED,MT6580,TECNO,1.9 GB,220920,https://naijarom.com/tecno-bc1,pc-fw
Tecno_BF7_MT6761_V185_221009.zip,Tecno BF7,BF7,V185,SOURCE_UNSPECIFIED,MT6761,TECNO,3 GB,221009,https://naijarom.com/tecno-bf7,pc-fw
Tecno_Camon_11_CB7_MT6761_V169_190308.zip,Tecno Camon 11 CB7,CB7,V169,SOURCE_UNSPECIFIED,MT6761,TECNO,2 GB,190308,https://naijarom.com/tecno-camon-11-cb7,pc-fw
Tecno_Camon_11_CF7_MT6739_V154_190107.zip,Tecno Camon 11 CF7,CF7,V154,SOURCE_UNSPECIFIED,MT6739,TECNO,2 GB,190107,https://naijarom.com/tecno-camon-11-cf7,pc-fw
Tecno_Camon_11_CF7_MT6739_V170_190107.zip,Tecno Camon 11 CF7,CF7,V170,SOURCE_UNSPECIFIED,MT6739,TECNO,2 GB,190107,https://naijarom.com/tecno-camon-11-cf7,pc-fw
Tecno_Camon_11_CF7_MT6739_V250_200901.zip,Tecno Camon 11 CF7,CF7,V250,SOURCE_UNSPECIFIED,MT6739,TECNO,1.53 GB,200901,https://naijarom.com/tecno-camon-11-cf7,pc-fw
Tecno_Camon_11_CF7K_MT6761_V112_201103.zip,Tecno Camon 11 CF7K,CF7K,V112,SOURCE_UNSPECIFIED,MT6761,TECNO,1.81 GB,201103,https://naijarom.com/tecno-camon-11-cf7k,pc-fw
Tecno_Camon_11_CF7K_MT6761_V332_201103.zip,Tecno Camon 11 CF7K,CF7K,V332,SOURCE_UNSPECIFIED,MT6761,TECNO,1.81 GB,201103,https://naijarom.com/tecno-camon-11-cf7k,pc-fw
Tecno_Camon_11_CF7S_MT6739_V103_190929.zip,Tecno Camon 11 CF7S,CF7S,V103,SOURCE_UNSPECIFIED,MT6739,TECNO,1.54 GB,190929,https://naijarom.com/tecno-camon-11-cf7s,pc-fw
Tecno_Camon_11_Pro_CF8_MT6765_V150_181114.zip,Tecno Camon 11 Pro CF8,CF8,V150,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,181114,https://naijarom.com/tecno-camon-11-pro-cf8,pc-fw
Tecno_Camon_11S_CB7_MT6761_V169_190308.zip,Tecno Camon 11S CB7,CB7,V169,SOURCE_UNSPECIFIED,MT6761,TECNO,1.53 GB,190308,https://naijarom.com/tecno-camon-11s-cb7,pc-fw
Tecno_Camon_12_CC7_MT6765_V230_191216.zip,Tecno Camon 12 CC7,CC7,V230,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,191216,https://naijarom.com/tecno-camon-12-cc7,pc-fw
Tecno_Camon_12_CC7_MT6765_V427_210719.zip,Tecno Camon 12 CC7,CC7,V427,SOURCE_UNSPECIFIED,MT6765,TECNO,2.14 GB,210719,https://naijarom.com/tecno-camon-12-cc7,pc-fw
Tecno_CC9_MT6765_V274_200106.zip,Tecno Camon 12 Pro CC9,CC9,V274,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,200106,https://naijarom.com/tecno-cc9,pc-fw
Tecno_CC9_MT6765_V389_201031.zip,Tecno Camon 12 Pro CC9,CC9,V389,SOURCE_UNSPECIFIED,MT6765,TECNO,2.26 GB,201031,https://naijarom.com/tecno-cc9,pc-fw
Tecno_CC9_MT6765_V437_210224.zip,Tecno Camon 12 Pro CC9,CC9,V437,SOURCE_UNSPECIFIED,MT6765,TECNO,2.26 GB,210224,https://naijarom.com/tecno-cc9,pc-fw
Tecno_CC9_MT6765_V465_210513.zip,Tecno Camon 12 Pro CC9,CC9,V465,SOURCE_UNSPECIFIED,MT6765,TECNO,2.26 GB,210513,https://naijarom.com/tecno-cc9,pc-fw
Tecno_CC9_MT6765_V471_210701.zip,Tecno Camon 12 Pro CC9,CC9,V471,SOURCE_UNSPECIFIED,MT6765,TECNO,2.26 GB,210701,https://naijarom.com/tecno-cc9,pc-fw
Tecno_Camon_15_CD7_MT6765_V163_211229.zip,Tecno Camon 15 CD7,CD7,V163,SOURCE_UNSPECIFIED,MT6765,TECNO,2.19 GB,211229,https://naijarom.com/tecno-camon-15-cd7,pc-fw
Tecno_CD7_MT6765_V359_200102.zip,Tecno Camon 15 CD7,CD7,V359,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,200102,https://naijarom.com/tecno-camon-15-cd7,pc-fw
Tecno_Camon_15_CD7_MT6765_V565_200922.zip,Tecno Camon 15 CD7,CD7,V565,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,200922,https://naijarom.com/tecno-camon-15-cd7,pc-fw
Tecno_Camon_15_CD7_MT6765_V601_201218.zip,Tecno Camon 15 CD7,CD7,V601,SOURCE_UNSPECIFIED,MT6765,TECNO,2.3 GB,201218,https://naijarom.com/tecno-camon-15-cd7,pc-fw
Tecno_Camon_15_CD7_MT6765_V787_211201.zip,Tecno Camon 15 CD7,CD7,V787,SOURCE_UNSPECIFIED,MT6765,TECNO,2.26 GB,211201,https://naijarom.com/tecno-camon-15-cd7,pc-fw
Tecno_Camon_15_Air_CD6_MT6765_V302_210706.zip,Tecno Camon 15 Air CD6,CD6,V302,SOURCE_UNSPECIFIED,MT6765,TECNO,2.24 GB,210706,https://naijarom.com/tecno-camon-15-air-cd6,pc-fw
Tecno_Camon_15_Air_CD6_MT6765_V316_220314.zip,Tecno Camon 15 Air CD6,CD6,V316,SOURCE_UNSPECIFIED,MT6765,TECNO,2.24 GB,220314,https://naijarom.com/tecno-camon-15-air-cd6,pc-fw
Tecno_Camon_15_Premier_CD8J_MT6765_V173_200624.zip,Tecno Camon 15 Premier CD8J,CD8J,V173,SOURCE_UNSPECIFIED,MT6765,TECNO,2.29 GB,200624,https://naijarom.com/tecno-camon-15-premier-cd8j,pc-fw
Tecno_Camon_15_Premier_CD8J_MT6765_V178_201029.zip,Tecno Camon 15 Premier CD8J,CD8J,V178,SOURCE_UNSPECIFIED,MT6765,TECNO,2.33 GB,201029,https://naijarom.com/tecno-camon-15-premier-cd8j,pc-fw
Tecno_Camon_15_Premier_CD8J_MT6765_V199_210313.zip,Tecno Camon 15 Premier CD8J,CD8J,V199,SOURCE_UNSPECIFIED,MT6765,TECNO,2.33 GB,210313,https://naijarom.com/tecno-camon-15-premier-cd8j,pc-fw
Tecno_Camon_15_Premier_CD8J_MT6765_V209_210517.zip,Tecno Camon 15 Premier CD8J,CD8J,V209,SOURCE_UNSPECIFIED,MT6765,TECNO,2.22 GB,210517,https://naijarom.com/tecno-camon-15-premier-cd8j,pc-fw
Tecno_Camon_15_Premier_CD8J_MT6765_V219_210720.zip,Tecno Camon 15 Premier CD8J,CD8J,V219,SOURCE_UNSPECIFIED,MT6765,TECNO,2.22 GB,210720,https://naijarom.com/tecno-camon-15-premier-cd8j,pc-fw
Tecno_Camon_15_Premier_CD8J_MT6765_V234_220314.zip,Tecno Camon 15 Premier CD8J,CD8J,V234,SOURCE_UNSPECIFIED,MT6765,TECNO,2.22 GB,220314,https://naijarom.com/tecno-camon-15-premier-cd8j,pc-fw
Tecno_Camon_15_Pro_CD8_MT6765_V115_201228.zip,Tecno Camon 15 Pro CD8,CD8,V115,SOURCE_UNSPECIFIED,MT6765,TECNO,2.24 GB,201228,https://naijarom.com/tecno-camon-15-pro-cd8,pc-fw
Tecno_Camon_15_Pro_CD8_MT6765_V219_200114.zip,Tecno Camon 15 Pro CD8,CD8,V219,SOURCE_UNSPECIFIED,MT6765,TECNO,2.22 GB,200114,https://naijarom.com/tecno-camon-15-pro-cd8,pc-fw
Tecno_Camon_15_Pro_CD8_MT6765_V321_200917.zip,Tecno Camon 15 Pro CD8,CD8,V321,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,200917,https://naijarom.com/tecno-camon-15-pro-cd8,pc-fw
Tecno_Camon_15_Pro_CD8_MT6765_V351_201218.zip,Tecno Camon 15 Pro CD8,CD8,V351,SOURCE_UNSPECIFIED,MT6765,TECNO,2 GB,201218,https://naijarom.com/tecno-camon-15-pro-cd8,pc-fw
Tecno_Camon_16_CE7_MT6768_V303_200922.zip,Tecno Camon 16 CE7,CE7,V303,SOURCE_UNSPECIFIED,MT6768,TECNO,3 GB,200922,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7_MT6768_V431_201201.zip,Tecno Camon 16 CE7,CE7,V431,SOURCE_UNSPECIFIED,MT6768,TECNO,3 GB,201201,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7_MT6768_V641_210831.zip,Tecno Camon 16 CE7,CE7,V641,SOURCE_UNSPECIFIED,MT6768,TECNO,2.84 GB,210831,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7_MT6768_V687_211109.zip,Tecno Camon 16 CE7,CE7,V687,SOURCE_UNSPECIFIED,MT6768,TECNO,2.84 GB,211109,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7_MT6768_V754_220309.zip,Tecno Camon 16 CE7,CE7,V754,SOURCE_UNSPECIFIED,MT6768,TECNO,2.84 GB,220309,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7_MT6768_V774_220510.zip,Tecno Camon 16 CE7,CE7,V774,SOURCE_UNSPECIFIED,MT6768,TECNO,2.84 GB,220510,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7_MT6768_V803_220919.zip,Tecno Camon 16 CE7,CE7,V803,SOURCE_UNSPECIFIED,MT6768,TECNO,2.89 GB,220919,https://naijarom.com/tecno-camon-16-ce7,pc-fw
Tecno_Camon_16_CE7J_MT6768_V250_201215.zip,Tecno Camon 16 CE7J,CE7J,V250,SOURCE_UNSPECIFIED,MT6768,TECNO,2.72 GB,201215,https://naijarom.com/tecno-camon-16-ce7j,pc-fw
Tecno_Camon_16_CE7J_MT6768_V435_230111.zip,Tecno Camon 16 CE7J,CE7J,V435,SOURCE_UNSPECIFIED,MT6768,TECNO,2.56 GB,230111,https://naijarom.com/tecno-camon-16-ce7j,pc-fw
