device_slug,source_url,filename,file_size,brand,device_name,model_code,chipset,build,market,date_token
infinix-al68-clone,https://naijarom.com/infinix-al68-clone,Infinix_AL68_Clone_07122015_4.4.4_XFT.zip,,,,,,,,
infinix-f818-clone,https://naijarom.com/infinix-f818-clone,Infinix_F818_Clone_07122015_4.4.4_XFT.zip,,,,,,,,
infinix-f98-clone,https://naijarom.com/infinix-f98-clone,Infinix_F98_Clone_MT6589_V1.9_27112017_6.0.zip,,,,,,,,
infinix-hot-10t-x689c-clone,https://naijarom.com/infinix-hot-10t-x689c-clone,Infinix_Hot_10T_X689C_Clone_V01_20210518_6.0_MIRA.zip,,,,,,,,
infinix-hot-12i-clone,https://naijarom.com/infinix-hot-12i-clone,Infinix_Hot_12i_Clone_MT6570_V1.0.1_220512_6.0.zip,,,,,,,,
infinix-hot-2-x510-clone,https://naijarom.com/infinix-hot-2-x510-clone,Infinix_Hot_2_X510_Clone_MT6572_V1_04082016.zip,,,,,,,,
infinix-hot-2-x510-clone,https://naijarom.com/infinix-hot-2-x510-clone,Infinix_Hot_2_X510_Clone_SP7731CEB_V05_20160425_5.1_SPD.zip,,,,,,,,
infinix-hot-3-x554-clone,https://naijarom.com/infinix-hot-3-x554-clone,Infinix_Hot_3_X554_Clone_V05_20160620_5.1.zip,,,,,,,,
infinix-hot-4-pro-x557-clone,https://naijarom.com/infinix-hot-4-pro-x557-clone,Infinix_Hot_4_Pro_X557_Clone_SP7731GEA_12272016_5.1_MIRA.zip,,,,,,,,
infinix-hot-clone,https://naijarom.com/infinix-hot-clone,Infinix_Hot_Clone_MT6592_V4_07032014_4.2.2.zip,,,,,,,,
infinix-hot-note-x551-clone,https://naijarom.com/infinix-hot-note-x551-clone,Infinix_Hot_Note_X551_Clone_MT6580_03092016_5.1.zip,,,,,,,,
infinix-hot-note-x551-clone,https://naijarom.com/infinix-hot-note-x551-clone,Infinix_Hot_Note_X551_Clone_MT6580_05262016_6.0.zip,,,,,,,,
infinix-hot-note-x551-clone,https://naijarom.com/infinix-hot-note-x551-clone,Infinix_Hot_Note_X551_Clone_MT6580_06102016.zip,,,,,,,,
infinix-hot-v2-clone,https://naijarom.com/infinix-hot-v2-clone,Infinix_Hot_Clone_V2_20151207_4.4.4_SPD.zip,,,,,,,,
infinix-m8-clone,https://naijarom.com/infinix-m8-clone,Infinix_M8_Clone_MT6592_03132015_6.0.zip,,,,,,,,
infinix-note-2-x600-clone,https://naijarom.com/infinix-note-2-x600-clone,Infinix_Note_2_X600_Clone_MT6580_09062017_5.1.zip,,,,,,,,
