model,csc,build,spl,fetched_at
SM-A015F,AFG,A015FXXS2ATF3,2020-06-01,2026-09-11T14:32:32Z
SM-A015F,EGY,A015FXXS2ATF3,2020-06-01,2026-09-11T14:32:23Z
SM-A015F,MID,A015FXXS2ATF3,2020-06-01,2026-09-11T14:32:19Z
SM-A015F,TUR,A015FXXS2ATF3,2020-06-01,2026-09-11T14:32:26Z
SM-A015F,XSG,A015FXXS2ATF3,2020-06-01,2026-09-11T14:32:29Z
SM-A015F,AFG,A015FXXS3ATL1,2020-11-01,2026-09-11T14:32:32Z
SM-A015F,EGY,A015FXXS3ATL1,2020-11-01,2026-09-11T14:32:23Z
SM-A015F,MID,A015FXXS3ATL1,2020-11-01,2026-09-11T14:32:19Z
SM-A015F,TUR,A015FXXS3ATL1,2020-11-01,2026-09-11T14:32:26Z
SM-A015F,XSG,A015FXXS3ATL1,2020-11-01,2026-09-11T14:32:29Z
SM-A015F,AFG,A015FXXS5BUL1,2022-01-01,2026-09-11T14:32:32Z
SM-A015F,EGY,A015FXXS5BUL1,2022-01-01,2026-09-11T14:32:23Z
SM-A015F,MID,A015FXXS5BUL1,2022-01-01,2026-09-11T14:32:19Z
SM-A015F,TUR,A015FXXS5BUL1,2022-01-01,2026-09-11T14:32:26Z
SM-A015F,XSG,A015FXXS5BUL1,2022-01-01,2026-09-11T14:32:29Z
SM-A015F,AFG,A015FXXS5BVC1,2022-03-01,2026-09-11T14:32:32Z
SM-A015F,EGY,A015FXXS5BVC1,2022-03-01,2026-09-11T14:32:23Z
SM-A015F,MID,A015FXXS5BVC1,2022-03-01,2026-09-11T14:32:19Z
SM-A015F,TUR,A015FXXS5BVC1,2022-03-01,2026-09-11T14:32:26Z
SM-A015F,XSG,A015FXXS5BVC1,2022-03-01,2026-09-11T14:32:29Z
SM-A015F,AFG,A015FXXS5CWB2,2023-02-01,2026-09-11T14:32:32Z
SM-A015F,TUR,A015FXXS5CWB2,2023-02-01,2026-09-11T14:32:26Z
SM-A015F,AFG,A015FXXS6CWG1,2023-08-01,2026-09-11T14:32:32Z
SM-A015F,TUR,A015FXXS6CWG1,2023-08-01,2026-09-11T14:32:26Z
SM-A015F,AFG,A015FXXU2ATB5,2020-03-01,2026-09-11T14:32:32Z
SM-A015F,EGY,A015FXXU2ATB5,2020-03-01,2026-09-11T14:32:23Z
SM-A015F,MID,A015FXXU2ATB5,2020-03-01,2026-09-11T14:32:19Z
SM-A015F,TUR,A015FXXU2ATB5,2020-03-01,2026-09-11T14:32:26Z
SM-A015F,XSG,A015FXXU2ATB5,2020-03-01,2026-09-11T14:32:29Z
SM-A015F,AFG,A015FXXU2ATC5,2020-03-01,2026-09-11T14:32:32Z
SM-A015F,EGY,A015FXXU2ATC5,2020-03-01,2026-09-11T14:32:23Z
SM-A015F,MID,A015FXXU2ATC5,2020-03-01,2026-09-11T14:32:19Z
SM-A015F,TUR,A015FXXU2ATC5,2020-03-01,2026-09-11T14:32:26Z
