model,device,pda_month,ap_version,ap_date,modem_version,modem_date,modem_separate,modem_lag_months,avg_lag,max_lag,lag_samples
SM-A015F,Galaxy A01,2023-07-01,A015FXXS6CWG1,2023-07,A015FXXS6CWG1,2023-07,no,0,3.7,9,35
SM-A025F,Galaxy A02s,2025-03-01,A025FXXS8CYC3,2025-03,A025FXXS8CYC3,2025-03,no,0,2.5,5,44
SM-A032F,Galaxy A03 Core,2026-01-01,A032FXXS9CZA1,2026-01,A032FXXS9CZA1,2026-01,no,0,0.5,2,63
SM-A035F,Galaxy A03s,2025-07-01,A035FXXS9CYG1,2025-07,A035FXXS9CYG1,2025-07,no,0,0.1,1,10
SM-A037F,Galaxy A03s,2025-05-01,A037FXXS8CYE1,2025-05,A037FXXS8CYE1,2025-05,no,0,1.1,2,48
SM-A042F,Galaxy A04e,2026-08-01,A042FXXSHEZH1,2026-08,A042FXXSHEZH1,2026-08,no,0,0.6,2,69
SM-A045F,Galaxy A04,2026-08-01,A045FXXSGEZH2,2026-08,A045FXXSGEZH2,2026-08,no,0,1.4,4,53
SM-A047F,Galaxy A04s,2026-08-01,A047FXXSGEZH2,2026-08,A047FXXSGEZH1,2026-08,yes,0,0.5,3,70
SM-A055F,Galaxy A05,2026-06-01,A055FXXSHDZF1,2026-06,A055FXXSHDZF1,2026-06,no,0,0.2,2,84
SM-A057F,Galaxy A05s,2026-08-01,A057FXXUFDZH2,2026-08,A057FXXUFDZH2,2026-08,no,0,-0.2,0,59
SM-A065F,,2026-07-01,A065FXXSDCZG2,2026-07,A065FXXSDCZG2,2026-07,no,0,0.2,1,41
SM-A066B,,2026-06-01,A066BXXS7CZF2,2026-06,A066BXXS7CZF2,2026-06,no,0,0.3,1,9
SM-A105F,Galaxy A10,2023-02-01,A105FDDS9CWB2,2023-02,A105FXXS9CWB2,2023-02,yes,0,0.0,0,4
SM-A115F,Galaxy A11,2023-11-01,A115FXXS6CWK2,2023-11,A115FXXS6CWK1,2023-11,yes,0,1.5,6,68
SM-A125F,Galaxy A12,2024-10-01,A125FXXS6CXJ5,2024-10,A125FXXS6CXJ1,2024-10,yes,0,0.7,2,188
SM-A135F,Galaxy A13,2026-05-01,A135FXXSEEZE3,2026-05,A135FXXSEEZE1,2026-05,yes,0,0.4,2,101
SM-A137F,,2026-02-01,A137FXXSCEZB1,2026-02,A137FXXSCEZB1,2026-02,no,0,1.8,4,15
SM-A155F,Galaxy A15,2026-07-01,A155FXXSBEZG1,2026-07,A155FXXSBEZG1,2026-07,no,0,1.3,4,29
SM-A156B,,2026-07-01,A156BXXSBEZG1,2026-07,A156BXXSBEZG1,2026-07,no,0,0.8,3,5
SM-A166B,,2026-08-01,A166BXXSADZH1,2026-08,A166BXXSADZH1,2026-08,no,0,0.0,0,1
SM-A176B,Galaxy A17,2026-07-01,A176BXXS6CZG7,2026-07,A176BXXS6CZG7,2026-07,no,0,0.0,0,5
SM-A205F,Galaxy A20,2023-03-01,A205FXXSBCWC5,2023-03,A205FDDSBCWC5,2023-03,yes,0,0.1,4,35
SM-A217F,Galaxy A21s,2024-05-01,A217FXXSCDXE2,2024-05,A217FXXSCDXE1,2024-05,yes,0,0.2,1,157
SM-A225F,Galaxy A22,2025-05-01,A225FXXSBDYE1,2025-05,A225FXXSBDYE1,2025-05,no,0,0.6,2,92
SM-A226B,Galaxy A22 5G,2026-03-01,A226BXXSBDZC3,2026-03,A226BXXSBDZC3,2026-03,no,0,0.5,2,151
SM-A235F,,2026-05-01,A235FXXSEEZE1,2026-05,A235FXXSEEZE1,2026-05,no,0,0.2,1,60
SM-A236B,,2026-08-01,A236BXXSGEZH2,2026-08,A236BXXSGEZH2,2026-08,no,0,0.2,1,5
SM-A245F,,2026-07-01,A245FXXSDFZG3,2026-07,A245FXXSDFZG3,2026-07,no,0,0.8,2,25
SM-A256B,,2026-08-01,A256BXXSEEZH9,2026-08,A256BXXSEEZH9,2026-08,no,0,,,0
SM-A266B,Galaxy A26,2026-08-01,A266BXXSCCZH3,2026-08,A266BXXSCCZH3,2026-08,no,0,0.1,1,7
SM-A276B,Galaxy A27,2026-08-01,A276BXXU2AZH7,2026-08,A276BXXU2AZH7,2026-08,no,0,0.0,0,10
SM-A305F,Galaxy A30,2023-01-01,A305FDDS6CWA3,2023-01,A305FXXS6CWA1,2023-01,yes,0,0.2,1,40
SM-A315F,,2024-02-01,A315FXXS5DXB1,2024-02,A315FXXS5DXB1,2024-02,no,0,1.5,3,42
SM-A325F,Galaxy A32,2025-02-01,A325FXXSCDYB2,2025-02,A325FXXSCDYB2,2025-02,no,0,0.6,2,134
SM-A326B,Galaxy A32 5G,2025-02-01,A326BXXSECYB5,2025-02,A326BXXSECZC1,2026-03,yes,-13,0.8,2,139
SM-A336B,,2026-08-01,A336BXXSKGZH2,2026-08,A336BXXSKGZH2,2026-08,no,0,0.7,2,11
SM-A346B,,2026-07-01,A346BXXSGFZG4,2026-07,A346BXXSGFZG4,2026-07,no,0,0.0,0,1
SM-A356B,,2026-08-01,A356BXXSCDZH1,2026-08,A356BXXSCDZH1,2026-08,no,0,0.5,1,2
SM-A366B,,2026-08-01,A366BXXSCCZH1,2026-08,A366BXXSCCZH1,2026-08,no,0,0.0,0,9
SM-A376B,,2026-08-01,A376BXXS5AZH4,2026-08,A376BXXS5AZH4,2026-08,no,0,,,0
SM-A505F,Galaxy A50,2023-01-01,A505FDDS9CWA1,2023-01,A505FXXS9CVL1,2022-12,yes,1,0.8,3,124
SM-A515F,Galaxy A51,2023-09-01,A515FXXU8HWI1,2023-09,A515FXXU8HWI1,2023-09,no,0,0.7,3,123
SM-A525F,,2025-06-01,A525FXXSCFYF1,2025-06,A525FXXSCFYF1,2025-06,no,0,1.0,3,220
SM-A526B,,2025-03-01,A526BXXSCGYC1,2025-03,A526BXXSCGYC1,2025-03,no,0,0.4,2,168
SM-A528B,Galaxy A52s,2025-09-01,A528BXXSBGYI3,2025-09,A528BXXSBGYI3,2025-09,no,0,0.8,3,348
SM-A536B,,2026-08-01,A536BXXSOGZH2,2026-08,A536BXXSOGZH2,2026-08,no,0,0.5,1,10
SM-A546B,Galaxy A54,2026-08-01,A546BXXSMFZH5,2026-08,A546BXXSMFZH1,2026-08,yes,0,-0.1,0,7
SM-A556B,Galaxy A55,2026-08-01,A556BXXSHDZH6,2026-08,A556BXXSHDZH6,2026-08,no,0,0.2,1,4
SM-A566B,,2026-08-01,A566BXXSDCZHB,2026-08,A566BXXSDCZHB,2026-08,no,0,0.0,0,8
SM-A576B,Galaxy A57,2026-08-01,A576BXXS5AZH3,2026-08,A576BXXS5AZH3,2026-08,no,0,0.0,0,1
SM-A705F,,2024-04-01,A705FXXU5DXD2,2024-04,A705FXXU5DXD2,2024-04,no,0,1.6,6,14
SM-A715F,,2024-02-01,A715FXXSBDXB1,2024-02,A715FXXSBDXB1,2024-02,no,0,0.4,7,48
SM-A725F,,2025-03-01,A725FXXSBFYC1,2025-03,A725FXXSBFYC1,2025-03,no,0,0.8,2,139
SM-A736B,,2026-08-01,A736BXXSCGZH1,2026-08,A736BXXSCGZH1,2026-08,no,0,0.7,3,50
SM-G780F,,2025-10-01,G780FXXSOFYJ1,2025-10,G780FXXSOFYJ1,2025-10,no,0,0.9,3,270
SM-G781B,,2025-10-01,G781BXXSIHYJ1,2025-10,G781BXXSIHYJ1,2025-10,no,0,0.8,4,206
SM-G980F,Galaxy S20,2025-02-01,G980FXXSNHYB1,2025-02,G980FXXSNHYB1,2025-02,no,0,0.8,3,259
SM-G981B,Galaxy S20 5G,2025-02-01,G981BXXSNHYB1,2025-02,G981BXXSNHYB1,2025-02,no,0,0.7,3,128
SM-G985F,Galaxy S20+,2025-02-01,G985FXXSNHYB1,2025-02,G985FXXSNHYB1,2025-02,no,0,0.8,3,262
SM-G988B,Galaxy S20 Ultra,2025-02-01,G988BXXSNHYB1,2025-02,G988BXXSNHYB1,2025-02,no,0,0.7,2,271
SM-G990B,Galaxy S21 FE,2026-06-01,G990BXXSKIZF1,2026-06,G990BXXSKIZE2,2026-05,yes,1,0.9,3,36
SM-G991B,Galaxy S21,2026-03-01,G991BXXSJHZC2,2026-03,G991BXXSJHZA6,2026-01,yes,2,0.6,2,501
SM-G996B,Galaxy S21+,2026-03-01,G996BXXSJHZC2,2026-03,G996BXXSJHZA6,2026-01,yes,2,0.6,2,492
SM-G998B,Galaxy S21 Ultra,2026-03-01,G998BXXSJHZC2,2026-03,G998BXXSJHZA6,2026-01,yes,2,0.6,2,507
SM-S711B,,2026-08-01,S711BXXSIGZH9,2026-08,S711BXXSIGZH9,2026-08,no,0,0.3,2,79
SM-S721B,,2026-08-01,S721BXXSEDZH9,2026-08,S721BXXSEDZH9,2026-08,no,0,0.7,2,30
SM-S901B,,2026-08-01,S901BXXSOGZH3,2026-08,S901BXXSOGZH3,2026-08,no,0,0.3,1,31
SM-S906B,,2026-08-01,S906BXXSOGZH3,2026-08,S906BXXSOGZH3,2026-08,no,0,0.2,1,31
SM-S908B,,2026-08-01,S908BXXSOGZH3,2026-08,S908BXXSOGZH3,2026-08,no,0,0.2,1,27
SM-S911B,Galaxy S24,2026-08-01,S911BXXSAFZH3,2026-08,S911BXXSAFZE1,2026-05,yes,3,1.1,4,228
SM-S916B,Galaxy S24+,2026-08-01,S916BXXSAFZH3,2026-08,S916BXXSAFZE1,2026-05,yes,3,1.1,4,228
SM-S918B,Galaxy S24 Ultra,2026-08-01,S918BXXSAFZH3,2026-08,S918BXXSAFZE1,2026-05,yes,3,1.0,4,214
SM-S921B,,2026-08-01,S921BXXSHDZH3,2026-08,S921BXXSHDZH3,2026-08,no,0,0.0,0,13
SM-S926B,,2026-08-01,S926BXXSHDZH3,2026-08,S926BXXSHDZH3,2026-08,no,0,0.0,0,11
SM-S928B,,2026-08-01,S928BXXS6DZH2,2026-08,S928BXXS6DZH2,2026-08,no,0,0.0,0,11
SM-S931B,,2026-08-01,S931BXXSCCZH1,2026-08,S931BXXSCCZH1,2026-08,no,0,1.0,1,10
SM-S936B,,2026-08-01,S936BXXSCCZH1,2026-08,S936BXXSCCZH1,2026-08,no,0,1.0,1,10
SM-S937B,,2026-08-01,S937BXXSACZH1,2026-08,S937BXXSACZH1,2026-08,no,0,1.0,1,6
SM-S938B,,2026-08-01,S938BXXSCCZH1,2026-08,S938BXXSCCZH1,2026-08,no,0,1.0,1,10
SM-S942B,,2026-08-01,S942BXXS4AZHA,2026-08,S942BXXS4AZHA,2026-08,no,0,,,0
SM-S947B,,2026-08-01,S947BXXS4AZHA,2026-08,S947BXXS4AZHA,2026-08,no,0,,,0
SM-S948B,,2026-08-01,S948BXXS4AZHL,2026-08,S948BXXS4AZHL,2026-08,no,0,,,0
