device,cadence
Galaxy Foldable,Monthly
Galaxy Z Fold5,Monthly
Galaxy Z Fold6,Monthly
Galaxy Z Fold7,Monthly
Galaxy Z Fold Special,Monthly
Galaxy Z Fold8,Monthly
Galaxy Z Fold8 Ultra,Monthly
Galaxy Z Flip5,Monthly
Galaxy Z Flip6,Monthly
Galaxy Z Flip7,Monthly
Galaxy Z Flip7 FE,Monthly
Galaxy Z Flip8,Monthly
Galaxy S Series,Monthly
Galaxy S26,Monthly
Galaxy S26+,Monthly
Galaxy S26 Ultra,Monthly
Galaxy S26 FE,Monthly
Galaxy S25,Monthly
Galaxy S25+,Monthly
Galaxy S25 Ultra,Monthly
Galaxy S25 FE,Monthly
Galaxy S24,Monthly
Galaxy S24+,Monthly
Galaxy S24 Ultra,Monthly
Galaxy S24 FE,Monthly
Galaxy S23,Monthly
Galaxy S23+,Monthly
Galaxy S23 Ultra,Monthly
Galaxy S23 FE,Monthly
Galaxy A Series,Monthly
Galaxy A56 5G,Monthly
Galaxy A54 5G,Monthly
Galaxy A55 5G,Monthly
Galaxy A57 5G,Monthly
Galaxy Tab Active5 Pro,Monthly
Galaxy XCover7,Monthly
Galaxy XCover7 Pro,Monthly
Galaxy Foldable,Quarterly
Galaxy Z Fold4,Quarterly
Galaxy Z Flip4,Quarterly
Galaxy S Series,Quarterly
Galaxy S22,Quarterly
Galaxy S22+,Quarterly
Galaxy S22 Ultra,Quarterly
Galaxy S21 FE 5G,Quarterly
Galaxy A Series,Quarterly
Galaxy A04,Quarterly
Galaxy A04s,Quarterly
Galaxy A04e,Quarterly
Galaxy A05,Quarterly
Galaxy A05s,Quarterly
Galaxy A06,Quarterly
Galaxy A06 5G,Quarterly
Galaxy A07,Quarterly
Galaxy A07 5G,Quarterly
Galaxy A14,Quarterly
Galaxy A14 5G,Quarterly
Galaxy A15,Quarterly
Galaxy A15 5G,Quarterly
Galaxy A16,Quarterly
Galaxy A16 5G,Quarterly
Galaxy A17,Quarterly
Galaxy A17 5G,Quarterly
Galaxy A23 5G,Quarterly
Galaxy A24,Quarterly
Galaxy A25 5G,Quarterly
Galaxy A26 5G,Quarterly
Galaxy A27 5G,Quarterly
Galaxy A33 5G,Quarterly
Galaxy A34 5G,Quarterly
Galaxy A35 5G,Quarterly
Galaxy A36 5G,Quarterly
Galaxy A37 5G,Quarterly
Galaxy A73 5G,Quarterly
Galaxy C Series,Quarterly
Galaxy C55 5G,Quarterly
Galaxy M Series,Quarterly
Galaxy M04,Quarterly
Galaxy M05,Quarterly
Galaxy M06 5G,Quarterly
Galaxy M07,Quarterly
Galaxy M14,Quarterly
Galaxy M14 5G,Quarterly
Galaxy M15 5G,Quarterly
Galaxy M16 5G,Quarterly
Galaxy M17 5G,Quarterly
Galaxy M17e 5G,Quarterly
Galaxy M34 5G,Quarterly
Galaxy M35 5G,Quarterly
Galaxy M36 5G,Quarterly
Galaxy M44 5G,Quarterly
Galaxy M47 5G,Quarterly
Galaxy M54 5G,Quarterly
Galaxy M55 5G,Quarterly
Galaxy M55s 5G,Quarterly
Galaxy M56 5G,Quarterly
Galaxy F Series,Quarterly
Galaxy F04,Quarterly
Galaxy F05,Quarterly
Galaxy F06 5G,Quarterly
Galaxy F07,Quarterly
Galaxy F14,Quarterly
Galaxy F14 5G,Quarterly
Galaxy F15 5G,Quarterly
Galaxy F16 5G,Quarterly
Galaxy F17 5G,Quarterly
Galaxy F34 5G,Quarterly
Galaxy F36 5G,Quarterly
Galaxy F54 5G,Quarterly
Galaxy F55 5G,Quarterly
Galaxy F56 5G,Quarterly
Galaxy F70 Pro 5G,Quarterly
Galaxy F70e 5G,Quarterly
Galaxy Tab S Series,Quarterly
Galaxy Tab S11,Quarterly
Galaxy Tab S11 Ultra,Quarterly
Galaxy Tab S10+,Quarterly
Galaxy Tab S10 Ultra,Quarterly
Galaxy Tab S10 FE,Quarterly
Galaxy Tab S10 FE+,Quarterly
Galaxy Tab S10,Quarterly
Galaxy Tab S9,Quarterly
Galaxy Tab S9+,Quarterly
Galaxy Tab S9 Ultra,Quarterly
Galaxy Tab S9 FE,Quarterly
Galaxy Tab S9 FE+,Quarterly
Galaxy Tab S8,Quarterly
Galaxy Tab S8+,Quarterly
Galaxy Tab S8 Ultra,Quarterly
Galaxy Tab S6,Quarterly
Galaxy Tab A,Quarterly
Galaxy Tab A11,Quarterly
Galaxy Tab A11+,Quarterly
Galaxy Tab A9,Quarterly
Galaxy Tab A9+,Quarterly
Galaxy A53 5G,Quarterly
Galaxy Tab Active4 Pro,Quarterly
Galaxy Tab Active5,Quarterly
Galaxy XCover5,Quarterly
Galaxy XCover6 Pro,Quarterly
Galaxy Watch Series,Quarterly
Galaxy Watch9,Quarterly
Galaxy Watch8,Quarterly
Galaxy Watch Ultra,Quarterly
Galaxy Watch Ultra2,Quarterly
Galaxy Watch7,Quarterly
Galaxy Watch FE,Quarterly
Galaxy Watch6,Quarterly
Galaxy Watch5,Quarterly
Galaxy Watch5 Pro,Quarterly
