model_name,spl_month
CAMON,2022-03
CAMON 12,2021-08
CAMON 16,2021-09
CAMON 16 S,2021-08
CAMON 17,2021-08
CAMON 17 Pro,2021-12
PHANTOM V Flip 5G,2026-07
PHANTOM V Fold,2023-10
POP 5 Pro,2022-03
POVA,2021-08
POVA Neo,2022-02
Pouvoir 4 Pro,2021-08
SPARK 5 Air,2021-08
SPARK 6 Air,2021-08
SPARK 6 GO,2021-06
SPARK 6 Go,2022-01
TECNO,2025-08
TECNO CAMON,2023-11
TECNO CAMON 12 Air,2021-08
TECNO CAMON 15,2021-06
TECNO CAMON 18,2023-11
TECNO CAMON 18P,2023-12
TECNO CAMON 19,2024-07
TECNO CAMON 19 Neo,2024-08
TECNO CAMON 19 Pro,2024-08
TECNO CAMON 20,2025-06
TECNO CAMON 20 Pro,2025-06
TECNO CAMON 20 Pro 5G,2025-05
TECNO CAMON 30,2026-07
TECNO CAMON 30 5G,2026-06
TECNO CAMON 30S,2026-08
TECNO CAMON 30S Pro,2026-08
TECNO CAMON 40,2026-07
TECNO CAMON 40 5G,2026-07
TECNO CAMON 40 Pro,2026-07
TECNO CAMON 40 Pro 5G,2026-07
TECNO CAMON 50,2026-07
TECNO CAMON 50 Pro,2026-07
TECNO CAMON 50 Pro 5G,2026-06
TECNO PHANTOM V Flip 5G,2026-04
TECNO PHANTOM V Flip2 5G,2026-07
TECNO PHANTOM V Fold,2026-04
TECNO PHANTOM V Fold2 5G,2026-07
TECNO POP 10,2026-04
TECNO POP 10 Pro,2026-07
TECNO POP 20,2026-08
TECNO POP 2F,2023-12
TECNO POP 5,2023-11
TECNO POP 5 Go,2023-09
TECNO POP 5 LTE,2024-02
TECNO POP 5 Pro,2024-05
TECNO POP 5P,2023-06
TECNO POP 6,2024-04
TECNO POP 6 Go,2024-05
TECNO POP 6 Go 4G,2024-06
TECNO POP 6 Pro,2024-08
TECNO POP 7,2025-05
TECNO POP 7 Pro,2025-01
TECNO POP 8,2025-08
TECNO POP 9,2026-08
TECNO POP 9 5G,2026-08
TECNO POVA 2,2023-06
TECNO POVA 3,2024-08
TECNO POVA 4,2024-10
TECNO POVA 5,2025-06
TECNO POVA 5 Pro 5G,2025-07
TECNO POVA 6,2026-03
TECNO POVA 6 5G,2026-08
TECNO POVA 6 Neo,2026-03
TECNO POVA 6 Neo 5G,2026-08
TECNO POVA 6 Pro 5G,2026-04
TECNO POVA 7,2026-07
TECNO POVA 7 5G,2026-07
TECNO POVA 7 Neo,2026-07
TECNO POVA 7 Pro 5G,2026-04
TECNO POVA 7 Ultra 5G,2026-07
TECNO POVA Curve 2 5G,2026-06
TECNO POVA Curve 5G,2026-07
TECNO POVA Neo,2024-02
TECNO POVA Neo 2,2024-11
TECNO POVA Neo 3,2025-07
TECNO POVA Slim 5G,2026-07
TECNO R7+,2022-06
TECNO SAPRK GO 2021,2023-08
TECNO SPARK 10,2025-03
TECNO SPARK 10 5G,2025-03
TECNO SPARK 10 Pro,2025-05
TECNO SPARK 10C,2025-05
TECNO SPARK 20,2026-01
TECNO SPARK 20 Pro,2026-01
TECNO SPARK 20 Pro 5G,2026-02
TECNO SPARK 20 Pro+,2026-02
TECNO SPARK 20C,2026-02
TECNO SPARK 30,2026-08
TECNO SPARK 30 5G,2026-08
TECNO SPARK 30 Pro,2026-08
TECNO SPARK 30C,2026-08
TECNO SPARK 30C 5G,2026-08
TECNO SPARK 4 Air,2021-08
TECNO SPARK 40,2026-08
TECNO SPARK 40 5G,2026-04
TECNO SPARK 40 Pro,2026-07
TECNO SPARK 40 Pro+,2026-07
TECNO SPARK 40C,2026-08
TECNO SPARK 50,2026-07
TECNO SPARK 50 5G,2026-06
TECNO SPARK 7,2023-10
TECNO SPARK 7 Pro,2021-08
TECNO SPARK 7P,2023-02
TECNO SPARK 7T,2023-02
TECNO SPARK 8,2023-11
TECNO SPARK 8 P,2022-12
TECNO SPARK 8 Pro,2023-12
TECNO SPARK 8C,2024-02
TECNO SPARK 8P,2023-11
TECNO SPARK 8T,2023-12
TECNO SPARK 9,2024-06
TECNO SPARK 9 Pro,2024-08
TECNO SPARK 9T,2024-06
TECNO SPARK GO 1,2025-01
TECNO SPARK GO 2023,2025-01
TECNO SPARK Go 1,2026-08
TECNO SPARK Go 1S,2026-08
TECNO SPARK Go 2,2026-07
TECNO SPARK Go 2022,2024-02
TECNO SPARK Go 2023,2025-04
TECNO SPARK Go 2024,2026-02
TECNO SPARK Go 3,2026-08
TECNO SPARK Go 5G,2026-07
TECNO SPARK Slim,2026-07
