model,product_base,region,android_version,fingerprint,http_status,has_update,update_title,update_url,update_size,update_size_value,update_description,update_urgency,update_target_sdk_level,update_experiment_id,settings_count,unexpected_update_fields,error,probed_at
TECNO PHANTOM V Fold 5G,AD10,GL,15,TECNO/AD10-GL/TECNO-AD10:15/AP3A.240905.015.A2/135017:user/release-keys,200,True,Tcard_AD10-15.1.3.115SP05-GL001PF001AZ,https://android.googleapis.com/packages/ota-api/package/3fe4121d8516e0e312854d80413be558fe389398.zip,7497.5 MB,7861732521,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AD10-15.1.3.115SP05(GL001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,558,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:39.162016+00:00
TECNO PHANTOM V Fold 5G,AD10,TR,15,TECNO/AD10-TR/TECNO-AD10:15/AP3A.240905.015.A2/135021:user/release-keys,200,True,Tcard_AD10-15.1.3.115SP05-TR001PF001AZ,https://android.googleapis.com/packages/ota-api/package/07f019ae4b8014d71e1bc454f4c45424cb964e2c.zip,7444.7 MB,7806315902,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AD10-15.1.3.115SP05(TR001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,561,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:44.508309+00:00
TECNO PHANTOM V Fold 5G,AD10,RU,15,TECNO/AD10-RU/TECNO-AD10:15/AP3A.240905.015.A2/135020:user/release-keys,200,True,Tcard_AD10-15.1.3.115SP05-RU001PF001AZ,https://android.googleapis.com/packages/ota-api/package/8afc1d6377c92dca168cb4da5ecd61c7dd7644b6.zip,7368.0 MB,7725900131,"<small><font color=""#949494"">Рекомендуется выполнять обновление OTA, когда заряд аккумулятора превышает 50%.</font></small><br>
<br>
Версия обновления:<br>
<small><font color=""#949494"">AD10-15.1.3.115SP05(RU001PF001AZ)</font></small><br>
<br>
Версия для Android:<br>
<small><font color=""#949494"">Обновление с Android 14 до Android 15 для повышения безопасности, расширения функций и улучшения пользовательского опыта.</font></small><br>
<br>
Версия ОС:<br>
<small><font color=""#949494"">Обновление с H",3,35,KEEP,557,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:46.806342+00:00
TECNO PHANTOM V Flip 5G,AD11,GL,15,TECNO/AD11-GL/TECNO-AD11:15/AP3A.240905.015.A2/135021:user/release-keys,200,True,Tcard_AD11-15.1.3.112SP09-GL001PF001AZ,https://android.googleapis.com/packages/ota-api/package/24c8ef45971b76f18ce88e27bfd1575fde5fa00e.zip,7460.4 MB,7822839490,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AD11-15.1.3.112SP09(GL001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,557,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:48.885209+00:00
TECNO PHANTOM V Fold2 5G,AE10,OP,15,TECNO/AE10-OP/TECNO-AE10:15/AP3A.240905.015.A2/135001:user/release-keys,200,True,Tcard_AE10-15.1.3.115SP05-OP001PF001AZ,https://android.googleapis.com/packages/ota-api/package/ad71a9676b510bdd2aa1ba54f0a1e3c834745737.zip,8243.3 MB,8643723671,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AE10-15.1.3.115SP05(OP001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,562,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:51.068029+00:00
TECNO PHANTOM V Fold2 5G,AE10,TR,15,TECNO/AE10-TR/TECNO-AE10:15/AP3A.240905.015.A2/135003:user/release-keys,200,True,Tcard_AE10-15.1.3.115SP05-TR001PF001AZ,https://android.googleapis.com/packages/ota-api/package/3f761458f2b8457cf4643b07fe19c94b6905e47b.zip,8171.3 MB,8568247652,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AE10-15.1.3.115SP05(TR001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,557,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:53.242676+00:00
TECNO PHANTOM V Fold2 5G,AE10,RU,15,TECNO/AE10-RU/TECNO-AE10:15/AP3A.240905.015.A2/135003:user/release-keys,200,True,Tcard_AE10-15.1.3.115SP05-RU001PF001AZ,https://android.googleapis.com/packages/ota-api/package/743f22a9e124b9d6de63cf7ce548329f19f6ca56.zip,8120.4 MB,8514878034,"<small><font color=""#949494"">Рекомендуется выполнять обновление OTA, когда заряд аккумулятора превышает 50%.</font></small><br>
<br>
Версия обновления:<br>
<small><font color=""#949494"">AE10-15.1.3.115SP05(RU001PF001AZ)</font></small><br>
<br>
Версия для Android:<br>
<small><font color=""#949494"">Обновление с Android 14 до Android 15 для повышения безопасности, расширения функций и улучшения пользовательского опыта.</font></small><br>
<br>
Версия ОС:<br>
<small><font color=""#949494"">Обновление с H",3,35,KEEP,555,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:55.284153+00:00
TECNO PHANTOM V Fold2 5G,AE10,IN,15,TECNO/AE10-IN/TECNO-AE10:15/AP3A.240905.015.A2/135003:user/release-keys,200,True,Tcard_AE10-15.1.3.115SP05-IN001PF001AZ,https://android.googleapis.com/packages/ota-api/package/7c416536e6988ec6b6ab05cf888b24b8293b3cd0.zip,8210.6 MB,8609474153,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AE10-15.1.3.115SP05(IN001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,560,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:57.551858+00:00
TECNO PHANTOM V Flip2 5G,AE11,OP,15,TECNO/AE11-OP/TECNO-AE11:15/AP3A.240905.015.A2/135001:user/release-keys,200,True,Tcard_AE11-15.1.3.112SP12-OP001PF001AZ,https://android.googleapis.com/packages/ota-api/package/1c58ed919ad7b6a179c7f8d82fd99cf381d303da.zip,8592.3 MB,9009637271,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br> <br> Update Version:<br> <small><font color=""#949494"">AE11-15.1.3.112SP12(OP001PF001AZ)</font></small><br> <br> Android Version:<br> <small><font color=""#949494"">1. Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br> <br> OS Version:<br> <small><font color=""#949494"">1. Upgraded from HiOS14.5.0 to HiOS15.1.",3,35,KEEP,556,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:17:59.550511+00:00
TECNO PHANTOM V Flip2 5G,AE11,TR,15,TECNO/AE11-TR/TECNO-AE11:15/AP3A.240905.015.A2/135003:user/release-keys,200,True,Tcard_AE11-15.1.3.112SP12-TR001PF001AZ,https://android.googleapis.com/packages/ota-api/package/8bfa98dc41e5e4ce84925e85a84d8f6ac6069f26.zip,8222.3 MB,8621738200,"<small><font color=""#949494"">It is recommended to perform OTA upgrade when the battery is over 50%.</font></small><br>
<br>
Update Version:<br>
<small><font color=""#949494"">AE11-15.1.3.112SP12(TR001PF001AZ)</font></small><br>
<br>
Android Version:<br>
<small><font color=""#949494"">Upgraded from Android 14 to Android 15 for enhanced security, more features, and a better user experience.</font></small><br>
<br>
OS Version:<br>
<small><font color=""#949494"">Upgraded from HiOS 14.5.0 to HiOS 15.1.3 fo",3,35,KEEP,564,"update_clearcut_log_enabled_event_types,update_clearcut_log_enabled_ui_event_codes,update_download_min_cache_space,update_download_min_data_space,update_download_pause_resume_by_service_allowed,update_download_prefer_data,update_download_rate_limits,update_download_redownload_retry_limit,update_installation_auto_reboot_device_encryption_types,update_installation_device_charger_only_period,update_installation_device_idle_maintenance_battery_threshold_period,update_installation_device_idle_only_period,update_installation_install_tonight_window,update_mobile_network_delay,update_notify_scheduled_delay,update_notify_security_level_delay,update_notify_wifi_disconnected_delay,update_ota_property_files,update_pause_resume_by_service_allowed,update_status_log_max_delay_sec,update_status_log_min_delay_sec,update_streaming_property_files,update_ui_notify_approval_strategy,update_ui_notify_device_not_idle_strategy,update_ui_notify_insufficient_space_strategy,update_ui_notify_low_battery_strategy,update_ui_notify_scheduled_strategy,update_ui_notify_wifi_disconnected_strategy,update_zero_rate_apn_capability",,2026-09-23T02:18:01.507753+00:00
